,CAC_pct,DAX_pct,FTSE_pct,Hang Seng_pct,NIFTY_pct,Nikkei_pct,Shanghai Composite_pct,CAC_shock,DAX_shock,FTSE_shock,Hang Seng_shock,NIFTY_shock,Nikkei_shock,Shanghai Composite_shock,Weighted_Global_Move,Weighted_Shock_Score,Global_Volatility_5d,Europe_vs_Asia
2015-06-25 00:00:00+00:00,-0.243789,-0.617544,0.144843,-0.945889,0.444338,-0.463048,-3.46196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.362877875,0.0,0.6520595638895201,0.86780975
2015-06-26 00:00:00+00:00,-0.072148,0.016303,-0.540556,-1.775161,-0.201243,-0.314134,-7.39669,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0584240249999999,0.35,0.9500476922881012,2.223006666666667
2015-06-29 00:00:00+00:00,0.34631,0.168217,-0.794671,-2.613607,-0.748103,-2.879343,-3.335255,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.7088578749999999,0.44999999999999996,1.083892228616352,2.300695666666667
2015-06-30 00:00:00+00:00,-3.742711,-3.560861,-1.972255,1.090034,0.602275,0.625468,5.53147,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6571118499999999,0.15,0.9501281661425719,-5.054254083333333
2015-07-01 00:00:00+00:00,-1.63496,-1.247207,-1.502908,0.0,1.010334,0.462498,-5.225873,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.06501507500000006,0.1,0.9284981836093011,-0.5234314166666669
2015-07-02 00:00:00+00:00,1.94125,2.15195,1.343354,0.123013,-0.096408,0.950252,-3.476648,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1365438,0.05,0.9703819457932349,2.4371324166666666
2015-07-06 00:00:00+00:00,-0.975385,-0.725821,0.331385,-3.17613,0.439015,-2.082153,2.413863,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.9948236999999999,0.44999999999999996,0.9596514440688583,0.14474425000000002
2015-07-07 00:00:00+00:00,-2.010727,-1.517036,-0.760722,-1.034102,-0.133189,1.314982,-1.292062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35709217500000007,0.0,0.6170895422534592,-1.1434022499999998
2015-07-08 00:00:00+00:00,-2.268895,-1.963611,-1.58361,-5.840768,-1.73603,-3.135702,-5.900878,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-3.3970347500000004,0.9500000000000001,1.4615189813972285,2.2146391666666663
2015-07-09 00:00:00+00:00,0.746636,0.660494,0.909487,3.726006,-0.412529,0.59713,5.763534,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.4111889999999998,0.35,1.7760612038057262,-1.6463295833333333
2015-07-10 00:00:00+00:00,2.547956,2.317888,1.400464,2.084592,0.384221,-0.381103,4.541869,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1406633,0.07500000000000001,1.9354684869547616,0.43137458333333356
2015-07-13 00:00:00+00:00,3.065858,2.902945,1.394795,1.29604,1.185336,1.566947,2.387562,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.436326375,0.05,2.0622805630555407,0.8455614166666667
2015-07-14 00:00:00+00:00,1.938179,1.4913,0.968024,-0.408736,-0.065615,1.471199,-1.15608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148147225,0.0,2.0498831079660147,1.5056423333333335
2015-07-15 00:00:00+00:00,0.687664,0.283172,0.234488,-0.259347,0.824454,0.382628,-3.026744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19402980000000003,0.0,0.6451355824683822,0.9215269166666666
2015-07-16 00:00:00+00:00,0.293494,0.197621,0.0,0.427125,0.988409,0.668459,0.459131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659004375,0.0,0.5695099869463622,-0.47207600000000005
2015-07-17 00:00:00+00:00,1.471294,1.534704,0.63224,1.003427,0.020908,0.246604,3.509543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6286209999999999,0.0,0.5176510924400295,0.01762550000000007
2015-07-20 00:00:00+00:00,0.056431,-0.369896,-0.314867,-0.041152,-0.074327,0.0,0.878316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021740574999999995,0.0,0.305100957664118,-0.40015325
2015-07-21 00:00:00+00:00,0.353215,0.533689,0.200736,0.518087,-0.86012,0.925144,0.640387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01437844999999996,0.0,0.3290403030664538,0.056672166666666635
